distance,consume,speed,temp_inside,temp_outside,specials,gas_type,AC,rain,sun,refill liters,refill gas,efficiency
28.0,5.0,26,21.5,12,No Specials,E10,0,0,0,45,E10,0.17857142857142858
12.0,4.2,30,21.5,13,No Specials,E10,0,0,0,0,0,0.35000000000000003
11.2,5.5,38,21.5,15,No Specials,E10,0,0,0,0,0,0.4910714285714286
12.9,3.9,36,21.5,14,No Specials,E10,0,0,0,0,0,0.3023255813953488
18.5,4.5,46,21.5,15,No Specials,E10,0,0,0,0,0,0.24324324324324326
8.3,6.4,50,21.5,10,No Specials,E10,0,0,0,0,0,0.7710843373493975
7.8,4.4,43,21.5,11,No Specials,E10,0,0,0,0,0,0.5641025641025642
12.3,5.0,40,21.5,6,No Specials,E10,0,0,0,0,0,0.4065040650406504
4.9,6.4,26,21.5,4,No Specials,E10,0,0,0,0,0,1.3061224489795917
11.9,5.3,30,21.5,9,No Specials,E10,0,0,0,0,0,0.4453781512605042
12.4,5.6,42,21.5,4,No Specials,E10,0,0,0,0,0,0.4516129032258064
11.8,4.6,38,21.5,0,No Specials,E10,0,0,0,0,0,0.38983050847457623
12.3,5.9,59,21.5,10,No Specials,E10,0,0,0,0,0,0.4796747967479675
24.7,5.1,58,21.5,12,No Specials,E10,0,0,0,0,0,0.20647773279352225
12.4,4.7,46,21.5,11,No Specials,E10,0,0,0,0,0,0.3790322580645161
17.3,5.1,24,21.5,5,No Specials,E10,0,0,0,0,0,0.29479768786127164
33.4,5.6,36,21.5,3,No Specials,E10,0,0,0,0,0,0.16766467065868262
11.8,5.1,32,21.5,3,No Specials,E10,0,0,0,0,0,0.43220338983050843
25.9,4.9,39,21.5,8,No Specials,E10,0,0,0,0,0,0.1891891891891892
11.8,4.7,40,21.5,4,No Specials,E10,0,0,0,0,0,0.3983050847457627
25.3,5.5,32,21.5,3,No Specials,E10,0,0,0,0,0,0.21739130434782608
14.2,5.9,38,21.5,1,No Specials,E10,0,0,0,0,0,0.41549295774647893
17.9,5.7,37,21.5,1,No Specials,E10,0,0,0,0,0,0.3184357541899442
11.8,4.7,36,21.5,1,No Specials,E10,0,0,0,0,0,0.3983050847457627
12.3,5.9,62,21.5,6,No Specials,E10,0,0,0,0,0,0.4796747967479675
12.4,4.1,57,21.5,9,No Specials,E10,0,0,0,0,0,0.33064516129032256
18.4,5.7,21,22.5,2,No Specials,E10,0,0,0,0,0,0.3097826086956522
18.4,5.8,28,21.5,3,No Specials,E10,0,0,0,0,0,0.31521739130434784
18.3,5.5,29,21.5,1,No Specials,E10,0,0,0,0,0,0.3005464480874317
18.4,5.7,35,21.5,4,No Specials,E10,0,0,0,0,0,0.3097826086956522
12.3,5.3,51,21.5,11,No Specials,E10,0,0,0,0,0,0.4308943089430894
11.8,5.0,29,21.5,10,No Specials,E10,0,0,0,0,0,0.423728813559322
12.3,5.6,58,21.5,8,No Specials,E10,0,0,0,0,0,0.4552845528455284
32.6,4.8,40,21.5,7,No Specials,E10,0,0,0,0,0,0.14723926380368096
